time_step,stress_t,stress_tdt,pl_strain_t,pl_strain_tdt,el_strain_t,el_strain_tdt,strain_t,strain_tdt,energy_tdt,dissipation_rate,group,strain_dynamic_tdt,stress_dynamic_tdt
167,-36.31950021,-50.17997087,0.003481598,0.0034509,-0.000181598,-0.0002509,0.0033,0.0032,0.061543441,0.001540407,0,0,7.86399385
168,-50.17997087,-62.21257041,0.0034509,0.003411063,-0.0002509,-0.000311063,0.0032,0.0031,0.065286336,0.002478362,0,0,7.86399385
169,-62.21257041,-72.65835218,0.003411063,0.003363292,-0.000311063,-0.000363292,0.0031,0.003,0.069081209,0.003470969,0,0,7.86399385
170,-72.65835218,-81.72658025,0.003363292,0.003308633,-0.000363292,-0.000408633,0.003,0.0029,0.072786774,0.004467082,0,0,7.86399385
171,-81.72658025,-89.59892163,0.003308633,0.003247995,-0.000408633,-0.000447995,0.0029,0.0028,0.076313567,0.005433126,0,0,7.86399385
172,-89.59892163,-96.43308577,0.003247995,0.003182165,-0.000447995,-0.000482165,0.0028,0.0027,0.079608685,0.006348111,0,0,7.86399385
173,-96.43308577,-102.3659839,0.003182165,0.00311183,-0.000482165,-0.00051183,0.0027,0.0026,0.082645372,0.007199964,0,0,7.86399385
174,-102.3659839,-107.5164718,0.00311183,0.003037582,-0.00051183,-0.000537582,0.0026,0.0025,0.085414136,0.007982836,0,0,7.86399385
175,-107.5164718,-111.9877312,0.003037582,0.002959939,-0.000537582,-0.000559939,0.0025,0.0024,0.087917846,0.008695142,0,0,7.86399385
176,-111.9877312,-115.8693362,0.002959939,0.002879347,-0.000559939,-0.000579347,0.0024,0.0023,0.090166638,0.009338139,0,0,7.86399385
177,-115.8693362,-119.2390486,0.002879347,0.002796195,-0.000579347,-0.000596195,0.0023,0.0022,0.092175578,0.009914898,0,0,7.86399385
178,-119.2390486,-122.1643749,0.002796195,0.002710822,-0.000596195,-0.000610822,0.0022,0.0021,0.093962476,0.010429584,0,0,7.86399385
